-2	15	6	-4	-8	-16	-85	-95
-36	-41	24	-8	-15	-99	-88	-6
-10	29	-17	8	13	99	72	44
41	-10	-27	-6	-4	-11	-17	-34
-1	6	6	-6	-6	-31	1	-61
5	-5	7	3	15	49	5	-14
-24	-9	10	-6	-13	-64	-58	-57
-33	-11	8	-8	-45	-20	-40	-27
5	-2	-6	10	16	-19	46	52
-2	9	84	1	1	51	-95	10
70	0	2	-2	10	-26	112	110
-53	-16	-57	-9	-2	39	-32	-82
43	6	-60	16	45	24	92	89
16	42	24	13	-1	6	-45	-67
55	-15	23	-4	8	71	34	-89
-21	9	63	-20	-18	-112	-124	-92
10	-25	28	4	-14	21	22	96
5	15	-50	-6	-3	29	53	76
-20	13	11	3	-6	-58	-77	-65
-1	16	14	3	4	28	40	-9
-18	-28	26	-7	7	7	-68	-46
10	5	-5	0	-8	-16	41	-15
3	-1	-3	-2	-13	8	-17	-17
0	6	10	1	1	24	42	32
-17	-4	54	-3	-15	-32	-87	-5
-44	-15	-10	-3	-7	-9	84	8
84	19	-48	12	32	48	20	79
64	33	-46	4	13	13	96	-70
-6	-7	30	-5	-20	5	-21	-18
39	-53	1	9	24	26	13	92
-34	25	28	9	-7	-119	0	84
2	-25	30	-9	-3	76	-86	-95
-17	61	6	-16	-5	19	46	8
-18	-4	-21	-1	-11	-83	-74	-85
-27	-25	9	-2	0	52	-26	-28
-18	-12	-25	8	-2	-34	28	76
-6	-6	0	1	1	-5	-22	-40
0	7	0	-10	-14	45	45	13
1	-2	-8	1	0	-41	-22	-58
-90	10	27	-8	-20	-43	-118	-117
39	-14	10	8	0	59	86	-80
69	17	-69	7	21	-66	94	98
4	13	7	7	15	96	-63	-50
-23	-56	9	-17	-23	-84	-37	-1
50	6	-59	13	29	36	73	106
-52	7	21	5	6	15	-110	-66
11	-11	-24	-11	-16	-13	-33	-96
-20	13	-5	0	3	-42	-23	33
-19	-72	-6	-8	1	-8	-69	-6
6	25	3	0	-26	22	10	5
-37	13	23	-8	3	-36	18	4
17	8	-11	11	3	76	21	34
-12	1	-17	-10	3	-63	-16	-9
19	9	18	-1	-5	40	-26	-85
-76	-17	48	-20	-41	-33	-71	51
52	9	-23	22	30	-21	110	105
-4	0	-59	6	24	60	105	-66
67	3	-25	5	21	74	66	56
27	21	49	7	3	-39	-53	-16
-44	-28	15	-19	-21	-21	-65	-87
29	-7	-54	-10	-15	-53	43	104
30	36	28	4	16	5	-59	1
-16	-39	-37	-6	0	82	77	-12
24	13	18	3	0	0	-77	-51
-35	-25	39	-1	-11	-53	-56	-38
-21	3	-11	-3	-7	-35	-14	-63
4	6	-18	-6	7	36	1	-8
-18	-9	0	0	13	-3	5	-17
9	7	32	2	-31	-10	-56	50
-13	-11	-21	-5	-7	-23	-67	51
-56	-20	36	0	2	-88	29	28
71	11	-14	3	20	111	117	54
-25	35	23	7	15	3	-98	-83
23	-34	-3	-8	-11	-52	77	53
-3	9	-20	4	1	-9	95	3
77	12	23	-5	8	34	39	13
-49	0	3	4	9	-9	-58	-50
-45	-12	36	-10	-21	-21	-96	-128
15	-32	4	2	-7	5	65	69
-4	-10	-14	-2	-6	0	27	99
21	26	10	-7	-2	15	-30	-26
-52	-17	11	0	7	-19	-33	-12
16	11	-13	-3	10	17	15	-24
-41	-13	-3	12	-3	38	-28	-36
21	3	-3	-6	-15	22	4	10
-46	21	0	-12	-30	-78	-76	-45
40	-31	-12	8	8	18	34	73
-33	-1	-29	-4	6	-34	-1	-2
31	20	25	12	24	-14	55	86
58	5	-30	11	34	127	127	119
24	32	20	-5	-15	-71	-128	-39
-94	-32	15	-10	-28	-28	-17	10
-15	44	-23	10	29	12	7	-2
-26	-10	31	0	-13	-38	-29	-35
15	-5	-25	6	13	98	3	42
23	21	-7	-24	-16	-72	-37	26
-5	-51	-6	-5	-17	-33	-6	-31
-15	14	4	1	-4	47	-13	-20
-26	-27	-14	-7	1	-43	-53	-116
-2	14	-3	3	-16	-2	-27	-27
15	2	-1	-12	-28	-74	-23	33
-11	-5	2	5	18	34	32	-75
33	19	41	9	11	58	-23	72
-56	1	-44	-10	4	-11	64	40
57	-5	-51	7	23	-2	28	-92
-43	-8	12	1	-16	-3	-31	-52
66	19	18	-12	-28	-52	-14	-85
25	26	11	20	43	63	68	72
-32	-21	-3	-1	-4	47	-54	-99
-23	8	-32	16	48	67	91	26
-20	-41	-40	-17	-24	-64	-39	-83
39	-6	21	-6	-14	-23	-58	-43
-26	5	32	-9	-22	36	15	8
20	14	25	4	-13	-32	-50	56
-15	3	-4	-10	5	3	14	-31
1	1	-3	5	3	-31	-5	-25
-18	-31	-16	-1	-7	20	-2	41
12	16	37	-16	-18	-34	-93	-70
